continuum-1  | INFO:     Started server process [1]
continuum-1  | INFO:     127.0.0.1:53416 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:53430 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51078 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51092 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51100 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51104 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:51116 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:54642 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:54652 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:54662 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:54672 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:54678 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40400 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40404 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40414 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40430 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:40434 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:52580 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:52584 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:52594 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:52602 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55866 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55878 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55894 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55900 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:55904 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:44698 - "GET /state HTTP/1.1" 200 OK
continuum-1  | INFO:     127.0.0.1:44706 - "GET /state HTTP/1.1" 200 OK
